from,to,weight,type
s89,s86,4,
s8,s12,2,
s102,s82,0,
s32,s8,1,
s52,s31,1,
s23,s111,1,
s108,s2,4,
s112,s5,4,
s88,s90,5,
s70,s36,1,
s57,s106,5,
s47,s70,5,
s64,s7,0,
s45,s58,4,
s75,s68,5,
s42,s66,1,
s101,s10,3,
s23,s111,5,
s5,s47,4,
s17,s81,5,
s50,s27,4,
s81,s41,2,
s77,s76,5,
s65,s51,2,
s32,s48,0,
s68,s70,0,
s41,s29,1,
s22,s71,5,
s19,s68,5,
s69,s11,5,
s109,s96,0,
s101,s50,5,
s8,s88,3,
s87,s94,4,
s93,s2,1,
s63,s97,4,
s4,s79,4,
s48,s104,5,
s99,s23,4,
s89,s21,3,
s18,s48,5,
s15,s99,2,
s52,s94,1,
s112,s97,5,
s96,s44,4,
s21,s52,4,
s109,s10,3,
s82,s26,2,
s31,s7,2,
s25,s13,0,
s93,s68,1,
s31,s50,5,
s93,s75,4,
s110,s74,2,
s54,s69,2,
s86,s25,3,
s89,s47,1,
s104,s61,5,
s76,s40,4,
s36,s74,2,
s10,s110,1,
s85,s1,1,
s66,s36,4,
s62,s7,4,
s84,s59,1,
s15,s64,2,
s100,s63,0,
s103,s42,0,
s97,s58,2,
s69,s73,4,
s14,s70,5,
s5,s48,0,
s16,s50,0,
s66,s9,2,
s111,s18,0,
s22,s74,3,
s5,s54,5,
s94,s76,0,
s34,s78,3,
s104,s26,5,
s52,s42,1,
s89,s105,0,
s67,s44,0,
s77,s112,2,
s67,s107,3,
s111,s32,0,
s81,s13,4,
s52,s104,4,
s35,s63,4,
s93,s26,0,
s29,s71,5,
s12,s57,4,
s19,s98,4,
s90,s51,4,
s23,s26,0,
s75,s3,1,
s10,s42,2,
s74,s46,2,
s24,s84,1,
s5,s13,4,
s71,s42,0,
s20,s109,5,
s72,s107,3,
s16,s49,0,
s79,s107,0,
s92,s67,3,
s70,s33,3,
s108,s61,5,
s105,s49,3,
s99,s64,4,
s6,s42,5,
s7,s32,3,
s97,s32,4,
s98,s96,2,
s52,s1,1,
s6,s23,5,
s64,s38,0,
s47,s73,3,
s74,s65,3,
s7,s91,3,
s77,s108,1,
s15,s23,3,
s72,s89,0,
s11,s47,4,
s75,s94,2,
s98,s94,3,
s57,s79,1,
s89,s18,3,
s54,s82,1,
s21,s20,5,
s84,s13,5,
s5,s39,2,
s98,s109,1,
s40,s16,3,
s47,s34,5,
s6,s36,0,
s42,s40,5,
s56,s107,4,
s68,s23,4,
s47,s70,2,
s42,s72,1,
s80,s10,1,
s53,s43,2,
s109,s104,4,
s34,s69,2,
s50,s77,2,
s91,s17,0,
s55,s51,5,
s81,s106,4,
s106,s79,0,
s93,s14,5,
s75,s94,1,
s65,s51,0,
s10,s50,2,
s8,s55,4,
s12,s42,4,
s44,s93,1,
s8,s78,4,
s51,s63,1,
s82,s33,1,
s67,s30,4,
s27,s30,4,
s5,s7,1,
s1,s19,0,
s95,s109,3,
s110,s32,1,
s93,s70,2,
s3,s86,2,
s94,s20,1,
s4,s95,4,
s85,s97,1,
s26,s1,2,
s20,s73,1,
s98,s70,0,
s11,s13,0,
s5,s77,3,
s83,s36,1,
s51,s108,2,
s84,s87,1,
s43,s16,1,
s32,s82,4,
s109,s31,2,
s38,s93,5,
s60,s29,4,
s28,s80,5,
s105,s70,5,
s57,s31,4,
s60,s52,4,
s4,s43,0,
s104,s110,2,
s51,s54,4,
s51,s43,3,
s30,s59,5,
s58,s25,3,
s38,s29,0,
s72,s15,3,
s56,s24,1,
s65,s23,2,
s16,s84,0,
s20,s19,4,
s7,s92,0,
s10,s106,3,
s101,s42,5,
s105,s90,3,
s65,s79,3,
s84,s34,2,
s52,s91,2,
s107,s59,3,
s47,s105,1,
s18,s89,4,
s28,s32,0,
s46,s25,2,
s107,s58,3,
s35,s20,1,
s81,s93,5,
s71,s22,0,
s74,s78,5,
s105,s15,2,
s24,s60,3,
s39,s107,1,
s14,s4,5,
s95,s28,1,
s4,s47,2,
s104,s61,4,
s18,s52,4,
