from,to,weight,type
s691,s948,1,
s573,s176,14,
s616,s67,13,
s529,s605,3,
s750,s775,9,
s465,s767,18,
s555,s667,0,
s431,s914,10,
s949,s13,13,
s207,s93,18,
s131,s512,6,
s906,s161,11,
s373,s755,2,
s469,s663,8,
s780,s40,19,
s1,s500,19,
s257,s491,2,
s758,s164,2,
s493,s966,6,
s377,s779,14,
s237,s665,2,
s515,s916,13,
s407,s837,12,
s402,s851,14,
s934,s282,11,
s10,s844,7,
s748,s288,4,
s394,s581,0,
s873,s151,12,
s620,s384,6,
s578,s966,9,
s22,s288,10,
s453,s456,10,
s717,s60,13,
s387,s419,13,
s928,s789,6,
s238,s53,2,
s788,s984,14,
s506,s456,17,
s947,s843,17,
s953,s662,16,
s514,s407,10,
s444,s877,19,
s170,s534,13,
s782,s586,2,
s959,s620,20,
s232,s5,4,
s927,s137,6,
s998,s350,6,
s904,s457,1,
s77,s223,3,
s767,s397,7,
s50,s636,14,
s748,s381,1,
s623,s932,19,
s451,s581,2,
s244,s963,18,
s764,s336,11,
s862,s427,10,
s163,s256,12,
s493,s486,18,
s754,s612,8,
s803,s379,4,
s356,s258,20,
s651,s933,0,
s483,s595,14,
s791,s56,4,
s864,s272,3,
s375,s688,8,
s182,s808,18,
s130,s125,9,
s605,s894,20,
s224,s962,4,
s78,s500,3,
s741,s706,18,
s414,s215,10,
s246,s979,4,
s60,s647,10,
s413,s989,4,
s935,s104,7,
s685,s895,3,
s156,s352,19,
s148,s459,7,
s765,s97,3,
s340,s274,8,
s145,s818,14,
s190,s338,17,
s281,s425,2,
s227,s470,16,
s381,s492,9,
s165,s926,18,
s310,s885,10,
s823,s483,18,
s104,s340,16,
s865,s872,20,
s561,s373,14,
s242,s797,20,
s138,s48,10,
s48,s519,6,
s798,s491,6,
s323,s997,6,
s387,s610,19,
s54,s238,14,
s778,s465,3,
s390,s278,5,
s727,s535,12,
s74,s341,11,
s563,s102,10,
s432,s496,19,
s710,s643,12,
s181,s915,2,
s12,s37,17,
s667,s154,6,
s545,s587,12,
s847,s792,8,
s461,s866,7,
s121,s889,8,
s184,s864,6,
s871,s296,17,
s920,s186,0,
s840,s693,5,
s72,s916,7,
s847,s292,5,
s175,s373,6,
s521,s635,19,
s642,s916,3,
s738,s826,5,
s842,s739,13,
s366,s110,11,
s127,s617,7,
s739,s580,15,
s573,s305,9,
s479,s143,3,
s87,s827,13,
s419,s702,20,
s230,s223,8,
s304,s597,2,
s376,s259,14,
s215,s536,19,
s348,s727,10,
s194,s934,20,
s611,s533,16,
s108,s828,2,
s83,s692,11,
s3,s932,3,
s825,s456,8,
s984,s545,0,
s373,s309,6,
