from,to,weight,type
s21,s77,16,
s31,s61,9,
s2,s30,13,
s90,s66,1,
s42,s8,11,
s76,s89,4,
s14,s95,20,
s6,s43,7,
s58,s30,2,
s80,s78,13,
s62,s87,17,
s1,s13,0,
s7,s12,18,
s89,s29,1,
s99,s39,0,
s59,s100,12,
s32,s36,5,
s85,s19,9,
s100,s82,19,
s43,s54,12,
s73,s4,20,
s66,s52,10,
s24,s12,15,
s49,s29,20,
s91,s44,16,
s80,s2,7,
s75,s63,1,
s5,s44,9,
s81,s50,5,
s45,s67,14,
s24,s79,1,
s47,s52,5,
s41,s49,1,
s29,s83,16,
s87,s1,5,
s65,s41,8,
s65,s18,6,
s33,s74,2,
s37,s45,6,
s49,s65,17,
s90,s30,3,
s35,s12,1,
s80,s43,16,
s28,s46,19,
s92,s72,1,
s35,s99,10,
s78,s100,14,
s96,s56,2,
s65,s54,10,
s92,s44,5,
s18,s77,7,
s64,s54,8,
s64,s53,18,
s33,s64,13,
s93,s72,0,
s86,s41,16,
s74,s98,2,
s19,s74,14,
s31,s70,1,
s62,s23,9,
s59,s69,12,
s37,s65,3,
s6,s62,13,
s16,s27,1,
s23,s32,4,
s80,s6,12,
s69,s32,14,
s26,s70,20,
s52,s60,1,
s17,s36,16,
s22,s2,19,
s38,s10,5,
s32,s77,20,
s69,s93,9,
s65,s52,5,
s33,s38,14,
s23,s36,1,
s72,s81,6,
s81,s19,11,
s45,s61,14,
s59,s43,15,
s30,s26,19,
s54,s90,1,
s24,s25,14,
s69,s92,17,
s86,s58,7,
s93,s28,3,
s1,s73,12,
s21,s62,7,
s16,s70,20,
s52,s38,3,
s73,s64,7,
s63,s89,20,
s91,s5,17,
s13,s48,2,
s52,s25,13,
s95,s85,1,
s88,s45,8,
s46,s34,19,
s49,s90,5,
s26,s15,15,
s50,s82,13,
s92,s26,11,
s75,s76,17,
s55,s24,13,
s15,s11,0,
s21,s45,2,
s61,s70,19,
s70,s47,16,
s85,s54,1,
s9,s12,6,
s83,s27,13,
s61,s86,4,
s46,s89,18,
s99,s64,8,
s17,s59,1,
s16,s25,2,
s70,s99,14,
s41,s86,18,
s80,s41,1,
s95,s11,4,
s51,s62,15,
s58,s30,12,
s38,s98,3,
s15,s70,10,
s33,s22,13,
s8,s90,19,
s10,s73,16,
s38,s70,0,
s37,s91,10,
s15,s64,17,
s26,s24,3,
s64,s61,4,
s80,s100,20,
s80,s73,4,
s14,s85,18,
s59,s27,8,
s90,s79,15,
s85,s64,10,
s71,s97,17,
s75,s93,1,
s25,s10,20,
s65,s47,7,
s100,s74,13,
s11,s16,4,
s50,s96,17,
s55,s32,13,
s49,s47,19,
s73,s68,19,
s24,s38,1,
s44,s1,17,
s37,s49,5,
s80,s2,8,
s8,s9,6,
s14,s90,11,
s46,s78,18,
s88,s92,6,
s98,s88,8,
s53,s1,14,
s42,s41,14,
s31,s52,17,
s30,s51,20,
s73,s97,19,
s16,s70,14,
s82,s40,9,
s46,s58,2,
s73,s78,6,
s6,s95,3,
s60,s89,15,
s8,s21,0,
s67,s9,9,
s69,s76,12,
s91,s42,14,
s52,s5,12,
s45,s51,14,
s82,s42,0,
s38,s65,16,
s81,s96,19,
s85,s89,5,
s8,s70,5,
s11,s33,6,
s21,s55,8,
s43,s80,11,
s26,s5,18,
s76,s51,15,
s34,s32,15,
s94,s31,13,
s17,s71,16,
s9,s15,4,
s59,s7,10,
s72,s47,6,
s64,s44,11,
s90,s94,7,
s89,s66,19,
s54,s25,13,
s4,s16,19,
s20,s11,9,
s28,s33,12,
s52,s63,3,
s87,s4,0,
s39,s15,7,
s50,s88,10,
s4,s28,2,
s99,s23,20,
s97,s23,16,
s59,s48,7,
s15,s62,1,
s67,s51,1,
s1,s24,12,
s18,s89,4,
s5,s88,17,
s59,s87,3,
s63,s1,18,
s28,s50,15,
s37,s81,7,
s91,s89,8,
s8,s81,20,
s79,s23,19,
s71,s28,19,
s31,s98,10,
s40,s68,13,
s50,s92,16,
s18,s13,9,
s96,s30,13,
s43,s37,17,
s52,s92,16,
s19,s29,11,
s90,s75,10,
s78,s34,18,
s15,s12,8,
s81,s62,13,
s49,s66,17,
s50,s89,11,
s60,s38,8,
s72,s90,8,
s39,s17,20,
s27,s74,9,
s5,s54,7,
s84,s55,0,
s57,s9,6,
s84,s10,6,
s75,s39,15,
s31,s84,14,
s82,s38,1,
s33,s11,18,
s9,s80,17,
s47,s62,4,
s14,s93,14,
s79,s89,19,
s25,s26,9,
s33,s58,4,
s91,s26,4,
s43,s1,17,
s47,s86,5,
s87,s23,19,
s34,s75,15,
s59,s73,0,
s25,s64,9,
s21,s48,7,
s97,s26,19,
s59,s98,11,
s50,s47,4,
s55,s52,14,
s72,s75,11,
s8,s30,12,
s2,s93,11,
s40,s55,3,
s87,s42,17,
s83,s33,16,
s31,s79,14,
s83,s13,11,
s95,s64,1,
s7,s23,18,
s90,s5,20,
s99,s93,11,
s73,s61,0,
s69,s31,18,
s29,s84,9,
s72,s40,3,
s100,s81,4,
s13,s79,9,
s46,s8,5,
s57,s96,13,
s54,s19,5,
s95,s60,13,
s53,s62,9,
s2,s13,17,
s39,s79,3,
s61,s50,7,
s42,s28,16,
s82,s99,0,
s98,s54,20,
s68,s89,0,
s2,s67,1,
s43,s22,6,
s33,s26,18,
s10,s43,8,
s64,s86,11,
s66,s66,18,
s99,s23,16,
