from,to,weight,type
s298,s390,11,
s405,s257,7,
s317,s291,4,
s123,s446,14,
s423,s258,3,
s114,s11,17,
s30,s372,20,
s35,s425,7,
s7,s33,9,
s219,s248,8,
s480,s457,16,
s175,s352,6,
s489,s99,2,
s166,s67,10,
s308,s334,20,
s94,s433,19,
s202,s230,14,
s212,s227,8,
s53,s475,18,
s57,s385,2,
s471,s360,0,
s460,s469,1,
s184,s62,13,
s475,s159,17,
s480,s489,15,
s137,s457,2,
s131,s297,9,
s39,s178,2,
s307,s339,10,
s173,s260,13,
s434,s6,19,
s244,s9,4,
s220,s278,17,
s67,s429,1,
s393,s483,2,
s217,s404,3,
s384,s416,17,
s386,s329,4,
s390,s162,17,
s242,s364,0,
s142,s470,9,
s491,s481,6,
s13,s251,9,
s286,s397,0,
s381,s333,12,
s114,s205,3,
s63,s213,15,
s78,s416,15,
s428,s452,5,
s213,s428,12,
s170,s476,9,
s182,s489,8,
s117,s397,9,
s102,s436,12,
s298,s24,8,
s432,s79,18,
s93,s7,8,
s59,s112,20,
s205,s214,11,
s279,s202,5,
s277,s468,11,
s440,s209,9,
s254,s316,20,
s422,s370,3,
s277,s265,12,
s193,s449,6,
s101,s219,19,
s322,s125,8,
s346,s456,17,
s365,s64,17,
s266,s23,9,
s408,s484,11,
s378,s244,7,
s423,s57,20,
s127,s346,15,
s464,s492,8,
s348,s148,9,
s369,s272,16,
s113,s454,7,
s236,s31,10,
s472,s290,10,
s264,s210,4,
s272,s109,12,
s381,s18,11,
s469,s307,11,
s275,s450,2,
s156,s295,10,
s478,s6,16,
s33,s57,13,
s379,s219,5,
s270,s475,17,
s418,s419,20,
s193,s128,16,
s103,s337,3,
s390,s223,9,
s387,s478,0,
s101,s190,16,
s320,s20,19,
s40,s434,17,
s330,s338,6,
s320,s378,7,
s306,s224,10,
s319,s263,20,
s489,s229,3,
s313,s56,11,
s427,s271,19,
s403,s84,2,
s73,s253,3,
s460,s112,10,
s336,s63,17,
s135,s125,13,
s308,s258,1,
s164,s253,7,
s186,s69,10,
s22,s24,9,
s14,s1,19,
s32,s200,14,
s237,s331,3,
s127,s319,9,
s389,s215,15,
s89,s418,12,
s25,s395,19,
s12,s309,20,
s482,s168,2,
s290,s99,11,
s12,s182,14,
s412,s201,5,
s145,s339,9,
s232,s81,16,
s148,s215,4,
s321,s332,20,
s461,s130,17,
s402,s486,2,
s82,s292,20,
s376,s385,11,
s305,s222,2,
s66,s346,0,
s98,s151,0,
s173,s72,2,
s235,s173,16,
s470,s65,8,
s58,s270,9,
s428,s413,14,
s214,s113,14,
s317,s432,10,
s462,s122,10,
s193,s28,10,
s456,s369,16,
s401,s446,19,
s2,s326,20,
s488,s123,10,
s472,s140,14,
s425,s235,4,
s193,s312,8,
s301,s443,15,
s303,s245,19,
s341,s437,15,
