from,to,weight,type
s1507,s1091,7,
s183,s1690,2,
s997,s820,7,
s1029,s259,9,
s335,s1799,10,
s1529,s1311,9,
s377,s582,5,
s173,s1602,10,
s1519,s1255,9,
s271,s711,10,
s1994,s1476,7,
s910,s475,9,
s1002,s953,1,
s1323,s1000,6,
s1868,s1535,0,
s325,s884,0,
s1767,s384,9,
s310,s506,7,
s1761,s234,1,
s1232,s1303,6,
s146,s1870,1,
s1759,s508,5,
s834,s1636,4,
s1452,s707,8,
s1795,s1035,8,
s1015,s1772,9,
s1728,s1101,4,
s949,s1640,6,
s1526,s408,7,
s334,s909,4,
s1537,s1931,9,
s2,s1524,7,
s845,s764,7,
s1556,s1131,4,
s1216,s1120,5,
s1571,s1586,2,
s682,s418,1,
s1447,s1043,0,
s52,s1923,2,
s704,s650,7,
s1730,s517,3,
s45,s951,9,
s1626,s1153,5,
s1623,s27,8,
s724,s82,9,
s166,s469,0,
s1782,s791,8,
s330,s1773,9,
s351,s65,9,
s952,s1087,2,
s1469,s1926,2,
s379,s587,6,
s186,s1287,5,
s335,s1278,4,
s134,s1259,7,
s1196,s1237,2,
s1477,s451,9,
s553,s1849,5,
s438,s1665,6,
s1407,s970,0,
s1893,s522,9,
s115,s1690,5,
s306,s588,1,
s672,s1725,6,
s1110,s1274,6,
s106,s920,8,
s1542,s1100,1,
s1618,s1862,7,
s1489,s1456,8,
s1753,s471,5,
s189,s515,4,
s741,s1537,9,
s726,s351,0,
s1794,s340,8,
s1297,s1260,2,
s105,s1755,1,
s1516,s742,10,
s1060,s1285,10,
s825,s66,4,
s1335,s1328,10,
s1563,s403,6,
s1073,s1398,7,
s538,s1504,9,
s1429,s1785,2,
s451,s1938,4,
s1986,s1991,5,
s318,s163,0,
s1116,s1067,1,
s1326,s1381,6,
s129,s1273,10,
s1353,s610,3,
s208,s435,1,
s985,s1046,3,
s201,s1680,5,
s1538,s1854,6,
s1987,s820,1,
s1993,s760,2,
s85,s1707,5,
s245,s1155,7,
s687,s1194,0,
s1232,s1935,3,
s1899,s1208,7,
s271,s1170,8,
s1414,s817,2,
s663,s784,4,
s1468,s363,6,
s1355,s81,9,
s1936,s1335,2,
s1791,s481,4,
s1170,s885,9,
s1584,s1946,0,
s88,s135,7,
s952,s133,8,
s765,s873,8,
s1894,s68,6,
s76,s1439,6,
s1499,s107,10,
s1363,s1458,8,
s1813,s1784,5,
s887,s416,9,
s43,s716,6,
s859,s1674,9,
s1829,s1915,3,
s164,s892,6,
s1534,s1880,2,
s893,s956,2,
s236,s1948,2,
s1849,s662,5,
s450,s1268,7,
s1585,s289,9,
s1128,s930,2,
s1846,s1531,3,
s131,s202,6,
s1930,s368,2,
s1894,s268,5,
s1457,s935,10,
s1890,s1365,3,
s1349,s1559,2,
s196,s1357,0,
s408,s857,4,
s1256,s383,7,
s395,s624,3,
s1816,s1003,0,
s666,s800,3,
s1361,s801,2,
s1000,s1877,2,
s1163,s1565,5,
s490,s1750,4,
s924,s1214,3,
s1790,s812,3,
s1112,s614,6,
s937,s130,3,
s1383,s1861,1,
s739,s1142,3,
s597,s216,4,
s822,s884,2,
s703,s1418,0,
s955,s89,3,
s92,s1201,1,
s909,s1200,9,
s1326,s1912,10,
s1546,s1446,10,
s699,s1316,4,
s1970,s1973,8,
s342,s1965,6,
s1345,s1309,4,
s879,s285,2,
s689,s191,9,
s1058,s121,7,
s1371,s1318,10,
s1543,s732,4,
s28,s192,8,
s1845,s748,3,
s1724,s1986,10,
s1085,s451,3,
s1480,s1221,7,
s1026,s260,8,
s46,s1734,8,
s167,s71,9,
s11,s957,0,
s755,s664,7,
s400,s1871,0,
s1954,s120,5,
s270,s1883,3,
s574,s1980,1,
s1861,s1977,8,
s1191,s806,4,
s739,s644,1,
s586,s905,5,
s733,s1283,0,
s1503,s378,2,
s476,s1357,1,
s567,s1712,4,
s1867,s1462,0,
s1754,s725,3,
s1056,s1283,4,
s916,s1316,8,
s348,s587,4,
s262,s1536,10,
s946,s1093,3,
s675,s1065,10,
