from,to,weight,type
s1851,s585,107,
s1418,s1310,7,
s1315,s1998,52,
s1406,s689,150,
s971,s1545,49,
s400,s1082,118,
s1674,s452,72,
s352,s1447,91,
s1357,s1282,149,
s371,s746,72,
s1026,s598,87,
s1320,s410,71,
s1109,s1117,18,
s1416,s103,78,
s1564,s1235,73,
s400,s1083,64,
s1079,s446,30,
s1399,s951,48,
s1988,s1796,55,
s1841,s1281,24,
s627,s872,59,
s1656,s1410,62,
s1980,s1888,67,
s1654,s642,30,
s833,s582,3,
s102,s1801,14,
s958,s774,37,
s983,s1493,11,
s422,s956,36,
s837,s109,113,
s1878,s460,132,
s280,s253,95,
s874,s2,35,
s615,s1761,123,
s978,s1276,134,
s1304,s940,126,
s812,s697,105,
s261,s196,18,
s1744,s1301,63,
s1662,s137,107,
s733,s639,62,
s656,s294,75,
s1930,s1943,80,
s1990,s1687,95,
s1405,s1269,131,
s62,s493,119,
s24,s1984,38,
s627,s1693,74,
s1964,s1096,92,
s1289,s139,110,
s954,s411,109,
s805,s1091,124,
s1064,s1348,50,
s971,s1623,56,
s808,s1952,142,
s465,s1496,23,
s951,s397,46,
s1502,s1902,86,
s1264,s1230,49,
s408,s533,65,
s137,s1633,106,
s343,s46,19,
s1715,s1805,7,
s1400,s1877,112,
s1028,s1136,72,
s1467,s1653,32,
s1173,s664,97,
s824,s172,120,
s1365,s820,85,
s913,s531,119,
s312,s1599,67,
s1080,s745,5,
s1847,s275,91,
s1694,s1026,135,
s12,s929,1,
s878,s722,71,
s298,s90,117,
s1767,s743,72,
s333,s512,149,
s627,s19,125,
s1082,s1164,56,
s792,s895,80,
s113,s871,145,
s308,s1066,106,
s882,s1857,37,
s603,s1727,11,
s1700,s238,39,
s461,s441,33,
s1653,s274,94,
s1053,s1937,120,
s1914,s950,2,
s456,s1761,8,
s703,s1273,32,
s178,s1440,99,
s1993,s1448,88,
s77,s480,135,
s1381,s750,115,
s768,s1991,79,
s1256,s1246,25,
s458,s1312,22,
s847,s357,149,
s721,s1859,77,
s624,s605,125,
s826,s1571,8,
s1079,s1084,34,
s1465,s1979,50,
s117,s658,10,
s1690,s1990,62,
s1208,s1528,76,
s1966,s1872,150,
s681,s576,99,
s1726,s761,33,
s1197,s360,6,
s911,s974,98,
s1494,s1347,3,
s1707,s801,78,
s1340,s1945,79,
s21,s1766,129,
s766,s1463,13,
s551,s1106,73,
s630,s1681,113,
s495,s255,103,
s169,s697,97,
s211,s740,145,
s565,s80,6,
s1793,s1120,115,
s818,s1095,38,
s1009,s873,50,
s601,s1657,118,
s1299,s1075,92,
s1670,s1260,138,
s745,s1761,11,
s632,s1720,147,
s384,s592,32,
s3,s202,46,
s1854,s1379,59,
s105,s1220,130,
s172,s1196,28,
s1137,s1747,134,
s566,s1519,103,
s1028,s315,6,
s1744,s598,142,
s1399,s634,57,
s1407,s1532,147,
s1137,s678,88,
s1338,s677,99,
s773,s844,85,
s1926,s1923,62,
s1027,s554,87,
s1941,s1512,79,
s209,s1557,77,
s1753,s1503,139,
s215,s790,107,
s143,s275,82,
s8,s852,17,
s197,s299,91,
s1142,s1107,69,
s1041,s618,1,
s1740,s360,3,
s562,s574,59,
s524,s509,35,
s817,s1876,109,
s1964,s1531,49,
s322,s700,99,
s1323,s1241,75,
s923,s182,113,
s140,s1460,119,
s866,s1540,12,
s1609,s184,62,
s693,s1762,50,
s827,s226,82,
s752,s682,101,
s1290,s432,144,
s1337,s1587,143,
s563,s1308,120,
s995,s1672,147,
s914,s242,34,
s917,s1551,57,
s121,s510,120,
s352,s1294,9,
s370,s1823,59,
s86,s529,141,
s1929,s1285,59,
s257,s44,75,
s1173,s1788,48,
s1947,s825,30,
s932,s291,33,
s1897,s1264,140,
s1295,s1277,93,
s446,s473,35,
s1457,s741,134,
s379,s1176,120,
s554,s886,118,
s1300,s22,111,
s1718,s90,26,
s1313,s286,144,
s597,s133,50,
s1917,s1985,49,
s794,s1429,34,
s1073,s1635,50,
s979,s1620,44,
s1535,s856,39,
s1136,s11,105,
s738,s1953,75,
s1876,s1058,71,
s1908,s484,147,
s841,s961,45,
s1925,s137,15,
s1723,s1770,11,
s284,s1960,70,
s1983,s1908,14,
s1911,s1566,119,
s1941,s1332,87,
s1829,s733,147,
s1394,s1651,68,
s1563,s1044,70,
s1194,s1072,142,
s1422,s1534,107,
s713,s481,91,
s188,s1328,13,
s123,s1226,72,
s274,s763,128,
s591,s1068,51,
s1513,s1062,9,
s862,s320,149,
s1002,s1030,119,
s543,s1170,30,
s706,s801,95,
s1457,s1095,6,
s211,s764,99,
s1782,s123,107,
s1255,s1291,0,
s626,s1491,89,
s486,s26,40,
s1516,s1338,73,
s297,s2,90,
s513,s1966,17,
s30,s1062,35,
s950,s772,43,
s1505,s394,34,
s1466,s1353,22,
s1211,s877,131,
s563,s778,65,
s1109,s893,42,
s265,s1222,130,
s1421,s1735,118,
s1016,s331,5,
s1521,s612,132,
s1699,s1998,92,
s84,s509,110,
s275,s27,29,
s1802,s1496,92,
s1334,s23,10,
s204,s827,150,
s1665,s1383,10,
s1462,s322,105,
s70,s1094,54,
s1454,s719,41,
s884,s1634,7,
s833,s307,111,
s1548,s299,124,
s280,s69,148,
s1933,s417,89,
s1281,s1961,141,
s868,s1443,140,
s1478,s1301,113,
s618,s489,38,
s1745,s871,43,
s1978,s1343,43,
s322,s1139,69,
s244,s1587,23,
s1379,s504,80,
s906,s106,37,
s126,s1594,16,
s944,s1645,83,
s1559,s936,31,
s825,s336,20,
s1291,s685,27,
s1320,s1081,76,
s1761,s1559,39,
s1228,s1810,74,
s649,s498,88,
s173,s652,28,
s1647,s67,44,
s1373,s1055,144,
s598,s516,127,
s611,s180,17,
s208,s1368,68,
s1132,s629,76,
s923,s1245,37,
s17,s243,67,
s1721,s239,142,
s1697,s1838,53,
s121,s1190,107,
s1260,s851,136,
s1914,s217,123,
s1316,s1294,42,
s27,s1812,101,
s455,s55,83,
s1094,s1662,86,
s269,s113,62,
s1741,s280,130,
s1217,s1528,55,
s888,s575,49,
s998,s10,24,
s1393,s1305,76,
s1219,s857,142,
s697,s1436,114,
s338,s1470,127,
s1706,s649,56,
s797,s1690,56,
s1542,s458,80,
s1025,s1960,119,
s1545,s1450,128,
s852,s1520,86,
s215,s93,73,
s1227,s1854,135,
s988,s1940,119,
s210,s430,69,
s1619,s118,71,
s654,s1865,68,
s1183,s189,21,
s833,s948,114,
s311,s1153,145,
s1052,s602,96,
s690,s940,139,
s558,s1468,140,
s1438,s518,116,
s1661,s1441,89,
s1889,s612,18,
s1646,s1438,150,
s1731,s306,133,
s1782,s928,129,
s1786,s961,68,
s408,s1057,52,
s1499,s1738,45,
s1563,s149,111,
s1121,s504,43,
s952,s105,104,
s1990,s836,125,
s1647,s1772,4,
s838,s792,142,
s962,s88,144,
s108,s1833,12,
s30,s123,125,
s432,s144,100,
s1907,s404,33,
s957,s370,12,
s1053,s384,118,
s1563,s1893,111,
s328,s128,12,
s441,s1558,56,
s1702,s1710,149,
s132,s1147,3,
s1249,s1375,111,
s487,s1478,54,
s394,s1757,127,
s270,s1588,88,
s942,s1610,123,
s106,s1501,103,
s956,s616,40,
s756,s1648,11,
s189,s122,34,
s1398,s80,141,
s623,s120,83,
s1414,s1161,139,
s533,s201,52,
s712,s982,36,
s661,s1734,49,
s376,s3,74,
s1002,s746,138,
s1036,s539,26,
s1997,s1895,102,
s141,s278,8,
s805,s1712,128,
s768,s1215,7,
s1119,s1960,107,
s682,s1985,91,
s1831,s1428,67,
s174,s959,9,
s1309,s1266,116,
s687,s1860,57,
s1987,s1656,48,
s1376,s485,50,
s1809,s1487,14,
s1864,s1729,148,
s1805,s1680,100,
s1973,s1704,109,
s1206,s867,6,
s1097,s328,79,
s1514,s1576,71,
s216,s330,38,
s1709,s494,80,
s1056,s1172,33,
s1662,s952,142,
s1337,s1506,97,
s1175,s918,68,
s1404,s1726,9,
s196,s747,23,
s91,s1502,25,
