from,to,weight,type
s4,s54,14,
s65,s130,5,
s166,s39,18,
s28,s191,11,
s67,s10,20,
s124,s96,2,
s21,s196,12,
s88,s167,10,
s5,s82,1,
s83,s134,13,
s85,s24,5,
s171,s158,4,
s35,s181,16,
s180,s139,11,
s51,s92,16,
s27,s49,18,
s68,s109,8,
s35,s152,10,
s15,s47,8,
s149,s18,2,
s198,s54,17,
s56,s85,8,
s75,s83,8,
s120,s152,15,
s139,s159,16,
s148,s164,4,
s94,s104,10,
s61,s88,1,
s151,s131,12,
s46,s182,8,
s86,s80,7,
s167,s160,15,
s70,s176,20,
s54,s147,12,
s28,s7,1,
s67,s51,7,
s19,s177,19,
s36,s46,4,
s8,s70,3,
s108,s88,0,
s99,s65,15,
s143,s28,18,
s109,s187,10,
s182,s149,15,
s89,s22,9,
s36,s181,11,
s95,s184,0,
s13,s57,6,
s59,s32,7,
s74,s172,8,
s49,s70,1,
s98,s167,12,
s50,s29,3,
s200,s130,7,
s187,s196,20,
s170,s118,17,
s88,s50,17,
s139,s40,2,
s200,s17,1,
s75,s101,13,
s42,s200,4,
s54,s65,12,
s117,s138,4,
s59,s67,19,
s181,s105,17,
s119,s102,11,
s52,s90,16,
s62,s148,3,
s94,s182,0,
s131,s83,5,
s176,s109,3,
s140,s110,16,
s146,s7,17,
s158,s200,18,
s27,s152,1,
s101,s19,6,
s156,s78,5,
s35,s130,10,
s188,s200,9,
s10,s114,1,
s53,s87,16,
s187,s192,7,
s91,s196,6,
s186,s150,4,
s31,s176,13,
s165,s91,17,
s158,s33,13,
s166,s199,2,
s131,s178,12,
s154,s38,0,
s173,s177,8,
s178,s71,6,
s17,s178,11,
s10,s187,15,
s129,s55,6,
s88,s100,1,
s6,s190,19,
s112,s70,12,
s196,s3,1,
s74,s131,10,
s159,s31,6,
s21,s172,1,
s65,s6,5,
s108,s86,15,
s68,s111,3,
s141,s59,0,
s140,s18,3,
s59,s140,16,
s129,s143,18,
s163,s174,19,
s179,s41,1,
s191,s118,5,
s15,s121,10,
s171,s120,1,
s35,s103,17,
s9,s82,13,
s72,s109,20,
s84,s30,10,
s151,s173,20,
s49,s128,5,
s40,s194,19,
s102,s98,0,
s83,s36,1,
s38,s113,12,
s7,s163,17,
s54,s170,1,
s135,s92,18,
s194,s127,3,
s27,s99,16,
s180,s88,11,
s175,s135,16,
s26,s167,10,
s156,s103,2,
s71,s179,8,
s22,s125,8,
s88,s162,17,
s39,s22,10,
s46,s180,10,
s50,s38,0,
s166,s43,13,
s124,s63,19,
s51,s3,14,
s91,s87,7,
s38,s51,16,
s172,s168,0,
s92,s144,4,
s52,s147,20,
s2,s56,17,
s187,s55,16,
s72,s150,18,
s91,s174,5,
s109,s139,2,
s20,s95,8,
s35,s82,17,
s157,s159,15,
s149,s56,5,
s154,s24,15,
s127,s170,15,
s35,s155,7,
s6,s120,9,
s27,s84,9,
s145,s113,1,
s176,s25,4,
s196,s138,5,
s7,s65,5,
s173,s183,13,
s116,s135,17,
s164,s112,14,
s47,s192,17,
s110,s37,19,
s154,s119,14,
s7,s69,10,
s161,s137,15,
s20,s111,7,
s5,s142,12,
s125,s3,19,
s40,s113,10,
s163,s172,12,
s130,s90,3,
s42,s35,1,
s34,s66,18,
s37,s167,10,
s142,s183,2,
s184,s174,9,
s10,s13,3,
s141,s184,19,
s15,s125,0,
s81,s183,7,
s60,s30,11,
s17,s109,3,
s8,s144,19,
s143,s75,3,
s119,s28,15,
s121,s162,5,
s117,s30,1,
s161,s64,17,
s109,s36,17,
s17,s1,9,
s126,s86,11,
s172,s122,11,
s166,s161,18,
s152,s4,12,
s105,s42,14,
s13,s21,18,
s195,s58,2,
s188,s77,3,
s24,s178,7,
s167,s116,0,
s64,s15,19,
s20,s39,15,
s193,s43,20,
s61,s144,20,
s121,s138,18,
s112,s54,19,
s75,s43,5,
s53,s99,5,
s46,s7,13,
s192,s129,2,
s149,s155,11,
s110,s27,3,
s122,s160,3,
s110,s161,16,
s122,s1,1,
s145,s84,11,
s157,s16,19,
s42,s10,9,
s113,s177,5,
s80,s134,3,
s89,s177,11,
s97,s111,18,
s17,s118,10,
s29,s22,15,
s2,s188,20,
s146,s107,20,
s9,s26,18,
s162,s176,5,
s136,s100,19,
s46,s98,8,
s29,s71,5,
s184,s49,17,
s87,s176,3,
s115,s110,12,
s180,s183,19,
s150,s26,0,
s182,s43,7,
s124,s110,8,
s7,s15,12,
s136,s88,6,
s4,s130,20,
s183,s9,2,
s147,s108,4,
s58,s104,1,
s191,s74,0,
s148,s81,19,
s22,s89,5,
s112,s111,4,
s200,s3,15,
s70,s163,18,
s16,s110,2,
s27,s200,0,
s97,s29,13,
s169,s180,6,
s161,s101,7,
s146,s174,3,
s126,s29,3,
s95,s142,10,
s160,s115,20,
s170,s57,5,
s50,s29,10,
s39,s168,2,
s187,s16,6,
s108,s149,4,
s41,s53,19,
s116,s93,8,
s121,s12,8,
s90,s134,20,
s35,s90,11,
s198,s51,7,
s133,s80,10,
s77,s111,20,
s89,s113,12,
s144,s140,3,
s149,s101,8,
s151,s105,10,
s65,s80,17,
s63,s105,0,
s88,s12,15,
s24,s88,7,
s36,s50,7,
s122,s179,13,
s62,s170,6,
s191,s137,1,
s47,s181,14,
s52,s28,16,
s192,s118,2,
s86,s200,3,
s175,s26,10,
s195,s59,9,
s88,s193,9,
s171,s157,0,
s70,s183,19,
s66,s45,6,
s20,s27,17,
s199,s6,12,
s122,s109,14,
s66,s191,15,
s155,s166,11,
s5,s95,9,
s45,s97,12,
s129,s1,15,
s33,s88,19,
s153,s94,8,
s168,s154,16,
s94,s141,2,
s111,s81,3,
s25,s122,10,
s2,s38,4,
s146,s158,2,
s179,s93,18,
s109,s140,11,
s85,s113,6,
s115,s172,8,
s175,s16,12,
s39,s21,5,
s104,s147,14,
s126,s116,3,
s189,s69,18,
s95,s62,5,
s95,s85,13,
s89,s180,14,
s47,s154,17,
s7,s191,13,
s127,s168,6,
s44,s116,11,
s92,s146,17,
s173,s159,19,
s87,s130,5,
s107,s34,10,
s158,s119,17,
s98,s146,13,
s144,s182,13,
