from,to,weight,type
s255,s215,2,
s7,s194,1,
s14,s12,2,
s151,s48,2,
s168,s95,0,
s5,s270,3,
s6,s177,3,
s221,s101,0,
s24,s160,3,
s107,s228,2,
s295,s288,0,
s120,s264,1,
s244,s172,0,
s102,s85,2,
s296,s50,3,
s226,s98,3,
s40,s144,0,
s293,s186,2,
s294,s36,2,
s91,s274,2,
s109,s84,2,
s104,s1,0,
s8,s251,1,
s46,s36,0,
s30,s234,1,
s48,s138,3,
s29,s265,2,
s118,s152,2,
s134,s198,2,
s28,s45,3,
s50,s70,0,
s125,s139,1,
s284,s240,1,
s185,s213,1,
s130,s130,0,
s151,s230,1,
s259,s5,1,
s83,s8,2,
s83,s40,0,
s223,s190,3,
s129,s68,3,
s70,s28,1,
s130,s137,2,
s3,s255,3,
s268,s113,1,
s88,s98,0,
s251,s272,1,
s182,s153,0,
s229,s128,1,
s257,s180,2,
s186,s194,3,
s18,s209,1,
s190,s104,3,
s26,s275,0,
s218,s227,0,
s26,s135,2,
s18,s119,0,
s236,s36,0,
s92,s278,0,
s270,s113,1,
s55,s134,3,
s76,s2,0,
s132,s218,2,
s193,s91,1,
s152,s102,2,
s156,s198,3,
s134,s198,1,
s288,s21,0,
s156,s290,3,
s204,s39,1,
s124,s80,1,
s292,s101,3,
s188,s241,0,
s215,s99,3,
s220,s63,3,
s167,s92,2,
s85,s243,3,
s58,s74,1,
s295,s86,0,
s265,s72,1,
s155,s123,2,
s90,s14,3,
s84,s28,2,
s141,s125,3,
s91,s96,1,
s194,s217,0,
s40,s169,0,
s67,s37,3,
s30,s6,0,
s220,s284,3,
s292,s12,1,
s92,s253,3,
s263,s241,0,
s5,s153,3,
s10,s20,1,
s6,s201,2,
s2,s41,2,
s145,s184,0,
s45,s261,0,
s11,s159,3,
s12,s177,2,
s21,s122,2,
s51,s75,2,
s116,s21,3,
s5,s165,0,
s236,s151,0,
s216,s254,2,
s119,s90,1,
s112,s118,2,
s105,s122,0,
s138,s58,2,
s58,s244,2,
s201,s81,2,
s115,s148,0,
s83,s279,3,
s184,s80,1,
s224,s281,2,
s275,s34,1,
s228,s73,2,
s18,s226,2,
s70,s110,0,
s82,s83,2,
s156,s80,3,
s198,s68,0,
s147,s4,2,
s11,s126,0,
s13,s2,1,
s18,s146,2,
s168,s237,0,
s152,s268,2,
s127,s227,1,
s280,s259,3,
s6,s18,1,
s114,s79,3,
s66,s31,1,
s276,s283,2,
s19,s100,0,
s7,s71,2,
s175,s275,3,
s157,s249,0,
s276,s95,2,
s112,s58,1,
s7,s249,2,
s285,s145,2,
s149,s150,1,
